name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Cane Beds CDP, Arizona",place,Median Household Income,B19013_001E,16908.0,,2011,2011-12-31,1600000US0409900,
"Canyon Day CDP, Arizona",place,Median Household Income,B19013_001E,22632.0,,2011,2011-12-31,1600000US0410040,
"Carefree town, Arizona",place,Median Household Income,B19013_001E,103606.0,,2011,2011-12-31,1600000US0410180,
"Carrizo CDP, Arizona",place,Median Household Income,B19013_001E,21563.0,,2011,2011-12-31,1600000US0410320,
"Casa Blanca CDP, Arizona",place,Median Household Income,B19013_001E,35911.0,,2011,2011-12-31,1600000US0410460,
"Casa Grande city, Arizona",place,Median Household Income,B19013_001E,44467.0,,2011,2011-12-31,1600000US0410530,
"Casas Adobes CDP, Arizona",place,Median Household Income,B19013_001E,58583.0,,2011,2011-12-31,1600000US0410670,
"Catalina CDP, Arizona",place,Median Household Income,B19013_001E,48889.0,,2011,2011-12-31,1600000US0411160,
"Catalina Foothills CDP, Arizona",place,Median Household Income,B19013_001E,82930.0,,2011,2011-12-31,1600000US0411230,
"Cave Creek town, Arizona",place,Median Household Income,B19013_001E,82973.0,,2011,2011-12-31,1600000US0411300,
"Cedar Creek CDP, Arizona",place,Median Household Income,B19013_001E,17552.0,,2011,2011-12-31,1600000US0411370,
"Centennial Park CDP, Arizona",place,Median Household Income,B19013_001E,49063.0,,2011,2011-12-31,1600000US0411500,
"Central CDP, Arizona",place,Median Household Income,B19013_001E,39917.0,,2011,2011-12-31,1600000US0411580,
"Central Heights-Midland City CDP, Arizona",place,Median Household Income,B19013_001E,32643.0,,2011,2011-12-31,1600000US0411720,
"Chandler city, Arizona",place,Median Household Income,B19013_001E,71343.0,,2011,2011-12-31,1600000US0412000,
"Charco CDP, Arizona",place,Median Household Income,B19013_001E,2499.0,,2011,2011-12-31,1600000US0412150,
"Chiawuli Tak CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0412560,
"Chilchinbito CDP, Arizona",place,Median Household Income,B19013_001E,14135.0,,2011,2011-12-31,1600000US0412630,
"Chinle CDP, Arizona",place,Median Household Income,B19013_001E,36420.0,,2011,2011-12-31,1600000US0412770,
"Chino Valley town, Arizona",place,Median Household Income,B19013_001E,41978.0,,2011,2011-12-31,1600000US0412840,
"Chloride CDP, Arizona",place,Median Household Income,B19013_001E,22500.0,,2011,2011-12-31,1600000US0412910,
"Christopher Creek CDP, Arizona",place,Median Household Income,B19013_001E,32600.0,,2011,2011-12-31,1600000US0413140,
"Chuichu CDP, Arizona",place,Median Household Income,B19013_001E,60000.0,,2011,2011-12-31,1600000US0413190,
"Cibecue CDP, Arizona",place,Median Household Income,B19013_001E,24219.0,,2011,2011-12-31,1600000US0413400,
"Cibola CDP, Arizona",place,Median Household Income,B19013_001E,42350.0,,2011,2011-12-31,1600000US0413470,
"Cienega Springs CDP, Arizona",place,Median Household Income,B19013_001E,41653.0,,2011,2011-12-31,1600000US0413540,
"Citrus Park CDP, Arizona",place,Median Household Income,B19013_001E,80958.0,,2011,2011-12-31,1600000US0413820,
"Clacks Canyon CDP, Arizona",place,Median Household Income,B19013_001E,68224.0,,2011,2011-12-31,1600000US0413850,
"Clarkdale town, Arizona",place,Median Household Income,B19013_001E,41548.0,,2011,2011-12-31,1600000US0413890,
"Claypool CDP, Arizona",place,Median Household Income,B19013_001E,42083.0,,2011,2011-12-31,1600000US0413960,
"Clay Springs CDP, Arizona",place,Median Household Income,B19013_001E,42240.0,,2011,2011-12-31,1600000US0414030,
"Clifton town, Arizona",place,Median Household Income,B19013_001E,52384.0,,2011,2011-12-31,1600000US0414380,
"Colorado City town, Arizona",place,Median Household Income,B19013_001E,33021.0,,2011,2011-12-31,1600000US0414870,
"Comobabi CDP, Arizona",place,Median Household Income,B19013_001E,2499.0,,2011,2011-12-31,1600000US0415080,
"Concho CDP, Arizona",place,Median Household Income,B19013_001E,20000.0,,2011,2011-12-31,1600000US0415150,
"Congress CDP, Arizona",place,Median Household Income,B19013_001E,34127.0,,2011,2011-12-31,1600000US0415220,
"Coolidge city, Arizona",place,Median Household Income,B19013_001E,45313.0,,2011,2011-12-31,1600000US0415500,
"Copper Hill CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0415600,
"Cordes Lakes CDP, Arizona",place,Median Household Income,B19013_001E,27481.0,,2011,2011-12-31,1600000US0415765,
"Cornfields CDP, Arizona",place,Median Household Income,B19013_001E,36000.0,,2011,2011-12-31,1600000US0415850,
"Cornville CDP, Arizona",place,Median Household Income,B19013_001E,48810.0,,2011,2011-12-31,1600000US0415920,
"Corona de Tucson CDP, Arizona",place,Median Household Income,B19013_001E,86075.0,,2011,2011-12-31,1600000US0416030,
"Cottonwood CDP, Arizona",place,Median Household Income,B19013_001E,41250.0,,2011,2011-12-31,1600000US0416360,
"Cottonwood city, Arizona",place,Median Household Income,B19013_001E,34492.0,,2011,2011-12-31,1600000US0416410,
"Cowlic CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0416830,
